titolo,durata,genere,rating,regista,cast,classificazione,film_id
The Meg,113.0,"Azione, Horror, Fantascienza",5.7,Jon Turteltaub,"Jason Statham, Bingbing Li, Rainn Wilson, Cliff Curtis",,1218
Billy Madison,89.0,Commedia,6.4,Tamra Davis,"Adam Sandler, Darren McGavin, Bridgette Wilson-Sampras, Bradley Whitford",,1219
Mortal Kombat,101.0,"Azione, Avventura, Fantasy",5.8,Paul W.S. Anderson,"Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa",,1220
El hoyo,94.0,"Horror, Fantascienza, Thriller",7.0,Galder Gaztelu-Urrutia,"Ivan Massagué, Zorion Eguileor, Antonia San Juan, Emilio Buale",,1221
Malignant,111.0,"Crime, Horror, Mistero",6.2,James Wan,"Annabelle Wallis, Maddie Hasson, George Young, Michole Briana White",,1222
Mary Poppins,139.0,"Commedia, Per famiglie, Fantasy",7.8,Robert Stevenson,"Julie Andrews, Dick Van Dyke, David Tomlinson, Glynis Johns",,1223
Transformers: Revenge of the Fallen,149.0,"Azione, Avventura, Fantascienza",6.0,Michael Bay,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",,1224
The Bad Guys,100.0,"Animazione, Avventura, Commedia",6.8,Pierre Perifel,"Sam Rockwell, Marc Maron, Awkwafina, Craig Robinson",,1225
The Road,111.0,"Dramma, Thriller",7.2,John Hillcoat,"Viggo Mortensen, Charlize Theron, Kodi Smit-McPhee, Robert Duvall",VM18,1226
The Giver,97.0,"Dramma, Romantico, Fantascienza",6.4,Phillip Noyce,"Brenton Thwaites, Jeff Bridges, Meryl Streep, Taylor Swift",VM14,1227
Rampage,107.0,"Azione, Avventura, Fantascienza",6.1,Brad Peyton,"Dwayne Johnson, Naomie Harris, Malin Akerman, Jeffrey Dean Morgan",,1228
Willow,126.0,"Azione, Avventura, Dramma",7.2,Ron Howard,"Val Kilmer, Joanne Whalley, Warwick Davis, Jean Marsh",,1229
Pet Sematary,103.0,"Fantasy, Horror, Thriller",6.5,Mary Lambert,"Dale Midkiff, Denise Crosby, Fred Gwynne, Brad Greenquist",,1230
Resident Evil,100.0,"Azione, Horror, Fantascienza",6.6,Paul W.S. Anderson,"Milla Jovovich, Michelle Rodriguez, Ryan McCluskey, Oscar Pearce",,1231
Henry V,137.0,"Biografia, Dramma, Storico",7.5,Kenneth Branagh,"Kenneth Branagh, Derek Jacobi, Simon Shepherd, James Larkin",,1232
The Nun,96.0,"Horror, Mistero, Thriller",5.3,Corin Hardy,"Demián Bichir, Taissa Farmiga, Jonas Bloquet, Bonnie Aarons",,1233
Jersey Boys,134.0,"Biografia, Dramma, Musica",6.8,Clint Eastwood,"John Lloyd Young, Erich Bergen, Michael Lomenda, Vincent Piazza",,1234
The Mummy,110.0,"Azione, Avventura, Fantasy",5.4,Alex Kurtzman,"Tom Cruise, Sofia Boutella, Annabelle Wallis, Russell Crowe",,1235
Black Panther: Wakanda Forever,161.0,"Azione, Avventura, Dramma",6.7,Ryan Coogler,"Letitia Wright, Lupita Nyong'o, Danai Gurira, Winston Duke",,1236
In Bruges,107.0,"Commedia, Crime, Dramma",7.9,Martin McDonagh,"Colin Farrell, Brendan Gleeson, Ciarán Hinds, Elizabeth Berrington",VM18,1237
Jawan,169.0,"Azione, Dramma, Musical",7.0,Atlee,"Shah Rukh Khan, Nayanthara, Vijay Sethupathi, Deepika Padukone",,1238
Couples Retreat,113.0,Commedia,5.5,Peter Billingsley,"Vince Vaughn, Malin Akerman, Jon Favreau, Jason Bateman",,1239
12 Years a Slave,134.0,"Biografia, Dramma, Storico",8.1,Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt",,1240
Teenage Mutant Ninja Turtles,93.0,"Azione, Avventura, Commedia",6.8,Steve Barron,"Judith Hoag, Elias Koteas, Josh Pais, David Forman",,1241
Jerry & Marge Go Large,96.0,"Biografia, Commedia, Dramma",6.9,David Frankel,"Bryan Cranston, Annette Bening, Rainn Wilson, Larry Wilmore",VM14,1242
"Extremely Wicked, Shockingly Evil and Vile",110.0,"Biografia, Crime, Dramma",6.7,Joe Berlinger,"Lily Collins, Zac Efron, Angela Sarafyan, Sydney Vollmer",VM18,1243
Alien Resurrection,109.0,"Azione, Horror, Fantascienza",6.2,Jean-Pierre Jeunet,"Sigourney Weaver, Winona Ryder, Dominique Pinon, Ron Perlman",,1244
The Addams Family,99.0,"Commedia, Fantasy",6.9,Barry Sonnenfeld,"Anjelica Huston, Raul Julia, Christopher Lloyd, Dan Hedaya",,1245
Law Abiding Citizen,109.0,"Azione, Crime, Dramma",7.4,F. Gary Gray,"Gerard Butler, Jamie Foxx, Leslie Bibb, Colm Meaney",,1246
La pianiste,131.0,"Dramma, Musica",7.5,Michael Haneke,"Isabelle Huppert, Annie Girardot, Benoît Magimel, Susanne Lothar",,1247
After We Collided,105.0,"Dramma, Romantico",5.0,Roger Kumble,"Josephine Langford, Hero Fiennes Tiffin, Dylan Sprouse, Louise Lombard",,1248
Batman & Robin,125.0,"Azione, Fantascienza",3.8,Joel Schumacher,"Arnold Schwarzenegger, George Clooney, Chris O'Donnell, Uma Thurman",,1249
Fifty Shades Freed,105.0,"Dramma, Mistero, Romantico",4.5,James Foley,"Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford",,1250
Bitter Moon,139.0,"Dramma, Romantico, Thriller",7.2,Roman Polanski,"Hugh Grant, Kristin Scott Thomas, Emmanuelle Seigner, Peter Coyote",VM18,1251
How to Be Single,110.0,"Commedia, Dramma, Romantico",6.1,Christian Ditter,"Dakota Johnson, Rebel Wilson, Leslie Mann, Alison Brie",,1252
Blood Diamond,143.0,"Avventura, Dramma, Thriller",8.0,Edward Zwick,"Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers",,1253
Near Dark,94.0,Horror,6.9,Kathryn Bigelow,"Adrian Pasdar, Jenny Wright, Lance Henriksen, Bill Paxton",,1254
3 Ninjas,84.0,"Azione, Commedia, Per famiglie",5.3,Jon Turteltaub,"Victor Wong, Michael Treanor, Max Elliott Slade, Chad Power",T,1255
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,109.0,"Azione, Commedia, Crime",6.1,Cathy Yan,"Margot Robbie, Rosie Perez, Mary Elizabeth Winstead, Jurnee Smollett",,1256
Close Encounters of the Third Kind,138.0,"Dramma, Fantascienza",7.6,Steven Spielberg,"Richard Dreyfuss, François Truffaut, Teri Garr, Melinda Dillon",,1257
Joy,124.0,"Biografia, Dramma",6.6,David O. Russell,"Jennifer Lawrence, Robert De Niro, Bradley Cooper, Edgar Ramírez",,1258
Cloverfield,85.0,"Horror, Fantascienza, Thriller",7.0,Matt Reeves,"Mike Vogel, Jessica Lucas, Lizzy Caplan, T.J. Miller",,1259
Ice Age,81.0,"Animazione, Avventura, Commedia",7.5,Chris Wedge,"Carlos Saldanha, Denis Leary, John Leguizamo, Ray Romano, Goran Visnjic",,1260
Patriot Games,117.0,"Azione, Thriller",6.8,Phillip Noyce,"Harrison Ford, Sean Bean, Anne Archer, Patrick Bergin",,1261
Old Dads,104.0,Commedia,6.2,Bill Burr,"Bill Burr, Bobby Cannavale, Bokeem Woodbine, Katie Aselton",VM18,1262
Collateral,120.0,"Azione, Crime, Dramma",7.5,Michael Mann,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo",,1263
Romeo and Juliet,138.0,"Dramma, Romantico",7.6,Franco Zeffirelli,"Leonard Whiting, Olivia Hussey, John McEnery, Milo O'Shea",,1264
The Adam Project,106.0,"Azione, Avventura, Commedia",6.7,Shawn Levy,"Ryan Reynolds, Walker Scobell, Mark Ruffalo, Jennifer Garner",,1265
Final Destination,98.0,"Horror, Thriller",6.7,James Wong,"Devon Sawa, Ali Larter, Kerr Smith, Kristen Cloke",,1266
Piranha 3D,88.0,"Commedia, Horror",5.5,Alexandre Aja,"Elisabeth Shue, Jerry O'Connell, Richard Dreyfuss, Ving Rhames",,1267
Amsterdam,134.0,"Commedia, Dramma, Storico",6.1,David O. Russell,"Christian Bale, Margot Robbie, John David Washington, Alessandro Nivola",,1268
No One Will Save You,93.0,"Horror, Fantascienza, Thriller",6.3,Brian Duffield,"Kaitlyn Dever, Elizabeth Kaluev, Zack Duhame, Lauren L. Murray",VM14,1269
Doctor Strange,115.0,"Azione, Avventura, Fantasy",7.5,Scott Derrickson,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong",,1270
Captain America: The Winter Soldier,136.0,"Azione, Avventura, Fantascienza",7.7,Anthony Russo,"Joe Russo, Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford",,1271
The Little Rascals,82.0,"Commedia, Per famiglie, Romantico",6.3,Penelope Spheeris,"Travis Tedford, Bug Hall, Brittany Ashton Holmes, Kevin Jamal Woods",,1272
Conan the Destroyer,103.0,"Azione, Avventura, Fantasy",5.9,Richard Fleischer,"Arnold Schwarzenegger, Grace Jones, Olivia d'Abo, Wilt Chamberlain",,1273
Limitless,105.0,"Fantascienza, Thriller",7.4,Neil Burger,"Bradley Cooper, Anna Friel, Abbie Cornish, Robert De Niro",,1274
Big Hero 6,102.0,"Animazione, Azione, Avventura",7.8,Don Hall,"Chris Williams, Ryan Potter, Scott Adsit, Jamie Chung, T.J. Miller",,1275
Monty Python and the Holy Grail,91.0,"Avventura, Commedia, Fantasy",8.2,Terry Gilliam,"Terry Jones, Graham Chapman, John Cleese, Eric Idle, Terry Gilliam",,1276
Chicago,113.0,"Commedia, Crime, Musical",7.2,Rob Marshall,"Renée Zellweger, Catherine Zeta-Jones, Richard Gere, Taye Diggs",,1277
Iron Man 2,124.0,"Azione, Fantascienza",6.9,Jon Favreau,"Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow, Don Cheadle",,1278
Immortals,110.0,"Azione, Dramma, Fantasy",6.0,Tarsem Singh,"Henry Cavill, Mickey Rourke, John Hurt, Stephen Dorff",,1279
Black Adam,125.0,"Azione, Avventura, Fantasy",6.2,Jaume Collet-Serra,"Dwayne Johnson, Aldis Hodge, Pierce Brosnan, Noah Centineo",,1280
Terms of Endearment,132.0,"Commedia, Dramma",7.4,James L. Brooks,"Shirley MacLaine, Debra Winger, Jack Nicholson, Danny DeVito",,1281
The Hunger Games: Mockingjay - Part 1,123.0,"Azione, Avventura, Fantascienza",6.6,Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",,1282
Lilo & Stitch,85.0,"Animazione, Avventura, Commedia",7.3,Dean DeBlois,"Chris Sanders, Daveigh Chase, Chris Sanders, Tia Carrere, David Ogden Stiers",,1283
Ted,106.0,Commedia,6.9,Seth MacFarlane,"Mark Wahlberg, Mila Kunis, Seth MacFarlane, Joel McHale",,1284
Hostel,94.0,Horror,5.9,Eli Roth,"Jay Hernandez, Derek Richardson, Eythor Gudjonsson, Barbara Nedeljakova",,1285
The Naked Gun: From the Files of Police Squad!,85.0,"Commedia, Crime",7.6,David Zucker,"Leslie Nielsen, Priscilla Presley, O.J. Simpson, Ricardo Montalban",,1286
Eden Lake,91.0,"Horror, Thriller",6.7,James Watkins,"Kelly Reilly, Michael Fassbender, Tara Ellis, Jack O'Connell",,1287
Ace Ventura: Pet Detective,86.0,Commedia,6.9,Tom Shadyac,"Jim Carrey, Courteney Cox, Sean Young, Tone Loc",,1288
Blade,120.0,"Azione, Horror, Fantascienza",7.1,Stephen Norrington,"Wesley Snipes, Stephen Dorff, Kris Kristofferson, N'Bushe Wright",VM18,1289
"Are You There God? It's Me, Margaret.",106.0,"Commedia, Dramma, Per famiglie",7.3,Kelly Fremon Craig,"Abby Ryder Fortson, Rachel McAdams, Kathy Bates, Benny Safdie",VM14,1290
The Secret Life of Walter Mitty,114.0,"Avventura, Commedia, Dramma",7.3,Ben Stiller,"Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn",,1291
The Other Guys,107.0,"Azione, Commedia, Crime",6.6,Adam McKay,"Will Ferrell, Mark Wahlberg, Derek Jeter, Eva Mendes",,1292
Lawless,116.0,"Biografia, Crime, Dramma",7.2,John Hillcoat,"Tom Hardy, Shia LaBeouf, Guy Pearce, Jason Clarke",VM18,1293
Dark City,100.0,"Fantasy, Mistero, Fantascienza",7.6,Alex Proyas,"Rufus Sewell, Kiefer Sutherland, Jennifer Connelly, William Hurt",,1294
The Boy Next Door,91.0,Thriller,4.7,Rob Cohen,"Jennifer Lopez, Ryan Guzman, Kristin Chenoweth, John Corbett",,1295
Tarzan,88.0,"Animazione, Avventura, Commedia",7.3,Chris Buck,"Kevin Lima, Tony Goldwyn, Minnie Driver, Brian Blessed, Glenn Close",,1296
Monolith,94.0,"Dramma, Mistero, Fantascienza",5.9,Matt Vesely,"Lily Sullivan, Ling Cooper Tang, Ansuya Nathan, Erik Thomson",VM18,1297
3 Days in Malay,99.0,"Azione, Storico, Guerra",2.6,Louis Mandylor,"Louis Mandylor, Donald Cerrone, Quinton 'Rampage' Jackson, Peter Dobson",VM18,1298
The Longest Ride,123.0,"Commedia, Dramma, Romantico",7.0,George Tillman Jr.,"Scott Eastwood, Britt Robertson, Alan Alda, Jack Huston",,1299
La piel que habito,120.0,"Dramma, Mistero, Thriller",7.6,Pedro Almodóvar,"Antonio Banderas, Elena Anaya, Jan Cornet, Marisa Paredes",VM18,1300
Heart of Stone,122.0,"Azione, Crime, Thriller",5.7,Tom Harper,"Gal Gadot, Jamie Dornan, Alia Bhatt, Jing Lusi",,1301
Fast & Furious Presents: Hobbs & Shaw,137.0,"Azione, Avventura, Thriller",6.5,David Leitch,"Dwayne Johnson, Jason Statham, Idris Elba, Vanessa Kirby",,1302
Jules,87.0,"Commedia, Dramma, Fantascienza",6.8,Marc Turtletaub,"Ben Kingsley, Harriet Sansom Harris, Jane Curtin, Teddy Cañez",VM14,1303
Identity,90.0,"Mistero, Thriller",7.3,James Mangold,"John Cusack, Ray Liotta, Amanda Peet, John Hawkes",,1304
Godzilla,139.0,"Azione, Fantascienza, Thriller",5.4,Roland Emmerich,"Matthew Broderick, Jean Reno, Maria Pitillo, Hank Azaria",,1305
Flash Gordon,111.0,"Azione, Avventura, Fantascienza",6.5,Mike Hodges,"Sam J. Jones, Melody Anderson, Max von Sydow, Topol",,1306
Venom: Let There Be Carnage,97.0,"Azione, Fantascienza, Thriller",5.9,Andy Serkis,"Tom Hardy, Woody Harrelson, Michelle Williams, Naomie Harris",,1307
Spider-Man: Far from Home,129.0,"Azione, Avventura, Commedia",7.4,Jon Watts,"Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei",,1308
You've Got Mail,119.0,"Commedia, Dramma, Romantico",6.7,Nora Ephron,"Tom Hanks, Meg Ryan, Greg Kinnear, Parker Posey",,1309
Pacific Rim,131.0,"Azione, Avventura, Fantascienza",6.9,Guillermo del Toro,"Idris Elba, Charlie Hunnam, Rinko Kikuchi, Charlie Day",,1310
The Lost World: Jurassic Park,129.0,"Azione, Avventura, Fantascienza",6.5,Steven Spielberg,"Jeff Goldblum, Julianne Moore, Pete Postlethwaite, Vince Vaughn",,1311
Groundhog Day,101.0,"Commedia, Dramma, Fantasy",8.0,Harold Ramis,"Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky",,1312
Underwater,95.0,"Azione, Horror, Fantascienza",5.9,William Eubank,"Kristen Stewart, Vincent Cassel, Mamoudou Athie, T.J. Miller",,1313
The Incredible Hulk,112.0,"Azione, Avventura, Fantascienza",6.6,Louis Leterrier,"Edward Norton, Liv Tyler, Tim Roth, William Hurt",,1314
Anchorman: The Legend of Ron Burgundy,94.0,Commedia,7.1,Adam McKay,"Will Ferrell, Christina Applegate, Steve Carell, Paul Rudd",,1315
What We Do in the Shadows,86.0,"Commedia, Horror",7.6,Jemaine Clement,"Taika Waititi, Jemaine Clement, Taika Waititi, Cori Gonzalez-Macuer, Jonny Brugh",VM18,1316
The Strangers: Prey at Night,85.0,Horror,5.2,Johannes Roberts,"Christina Hendricks, Martin Henderson, Bailee Madison, Lewis Pullman",,1317
Annie,126.0,"Commedia, Dramma, Per famiglie",6.6,John Huston,"Aileen Quinn, Albert Finney, Carol Burnett, Ann Reinking",,1318
Venom,112.0,"Azione, Avventura, Fantascienza",6.6,Ruben Fleischer,"Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze",,1319
Gypsy,143.0,"Biografia, Commedia, Dramma",7.1,Mervyn LeRoy,"Rosalind Russell, Natalie Wood, Karl Malden, Paul Wallace",,1320
High Strung,96.0,"Dramma, Musica, Romantico",6.3,Michael Damian,"Keenan Kampa, Nicholas Galitzine, Sonoya Mizuno, Jane Seymour",T,1321
Never Let Me Go,103.0,"Dramma, Romantico, Fantascienza",7.1,Mark Romanek,"Keira Knightley, Carey Mulligan, Andrew Garfield, Izzy Meikle-Small",VM18,1322
Project X,88.0,Commedia,6.7,Nima Nourizadeh,"Thomas Mann, Oliver Cooper, Jonathan Daniel Brown, Dax Flame",VM18,1323
The Death of Stalin,107.0,"Commedia, Dramma, Storico",7.3,Armando Iannucci,"Steve Buscemi, Simon Russell Beale, Jeffrey Tambor, Andrea Riseborough",VM18,1324
Lone Survivor,121.0,"Azione, Biografia, Dramma",7.5,Peter Berg,"Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster",,1325
Jerry Maguire,139.0,"Commedia, Dramma, Romantico",7.3,Cameron Crowe,"Tom Cruise, Cuba Gooding Jr., Renée Zellweger, Kelly Preston",,1326
Bloodshot,109.0,"Azione, Avventura, Fantascienza",5.7,Dave Wilson,"Vin Diesel, Eiza González, Sam Heughan, Toby Kebbell",,1327
Lion,118.0,"Biografia, Dramma",8.0,Garth Davis,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar",,1328
It's a Wonderful Life,130.0,"Dramma, Per famiglie, Fantasy",8.6,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell",T,1329
The Father,97.0,"Dramma, Mistero",8.2,Florian Zeller,"Anthony Hopkins, Olivia Colman, Mark Gatiss, Olivia Williams",,1330
American Assassin,111.0,"Azione, Thriller",6.2,Michael Cuesta,"Dylan O'Brien, Michael Keaton, Sanaa Lathan, Taylor Kitsch",VM18,1331
The Power of the Dog,126.0,"Dramma, Western",6.8,Jane Campion,"Benedict Cumberbatch, Kirsten Dunst, Jesse Plemons, Kodi Smit-McPhee",,1332
To Die For,106.0,"Commedia, Crime, Dramma",6.8,Gus Van Sant,"Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck",,1333
The Village,108.0,"Dramma, Mistero, Thriller",6.6,M. Night Shyamalan,"Sigourney Weaver, William Hurt, Joaquin Phoenix, Bryce Dallas Howard",,1334
An Officer and a Gentleman,124.0,"Dramma, Romantico",7.1,Taylor Hackford,"Richard Gere, Debra Winger, David Keith, Robert Loggia",,1335
American Hustle,138.0,"Crime, Dramma",7.2,David O. Russell,"Christian Bale, Amy Adams, Bradley Cooper, Jennifer Lawrence",,1336
King Arthur: Legend of the Sword,126.0,"Azione, Avventura, Dramma",6.7,Guy Ritchie,"Charlie Hunnam, Astrid Bergès-Frisbey, Jude Law, Djimon Hounsou",,1337
8 Mile,110.0,"Dramma, Musica",7.2,Curtis Hanson,"Eminem, Brittany Murphy, Kim Basinger, Mekhi Phifer",,1338
Nowhere,109.0,"Dramma, Thriller",6.3,Albert Pintó,"Anna Castillo, Tamar Novas, Tony Corvillo, Mariam Torres",,1339
End of Watch,109.0,"Azione, Crime, Dramma",7.6,David Ayer,"Jake Gyllenhaal, Michael Peña, Anna Kendrick, America Ferrera",,1340
The Conjuring 2,134.0,"Horror, Mistero, Thriller",7.3,James Wan,"Vera Farmiga, Patrick Wilson, Madison Wolfe, Frances O'Connor",,1341
Closer,104.0,"Dramma, Romantico",7.2,Mike Nichols,"Natalie Portman, Jude Law, Clive Owen, Julia Roberts",,1342
El Camino: A Breaking Bad Movie,122.0,"Azione, Crime, Dramma",7.3,Vince Gilligan,"Aaron Paul, Jonathan Banks, Matt Jones, Charles Baker",,1343
The Hitman's Bodyguard,118.0,"Azione, Commedia, Crime",6.9,Patrick Hughes,"Ryan Reynolds, Samuel L. Jackson, Gary Oldman, Elodie Yung",,1344
Matilda: The Musical,117.0,"Commedia, Dramma, Per famiglie",7.0,Matthew Warchus,"Alisha Weir, Emma Thompson, Lashana Lynch, Stephen Graham",,1345
Secondhand Lions,111.0,"Commedia, Dramma, Per famiglie",7.5,Tim McCanlies,"Haley Joel Osment, Michael Caine, Robert Duvall, Kyra Sedgwick",,1346
Remember Me,113.0,"Dramma, Romantico",7.1,Allen Coulter,"Robert Pattinson, Emilie de Ravin, Caitlyn Rund, Moisés Acevedo",,1347
Live and Let Die,121.0,"Azione, Avventura, Thriller",6.7,Guy Hamilton,"Roger Moore, Yaphet Kotto, Jane Seymour, Clifton James",,1348
Polar,118.0,"Azione, Thriller",6.3,Jonas Åkerlund,"Mads Mikkelsen, Vanessa Hudgens, Katheryn Winnick, Fei Ren",,1349
Argo,120.0,"Biografia, Dramma, Storico",7.7,Ben Affleck,"Ben Affleck, Bryan Cranston, John Goodman, Alan Arkin",,1350
Crash,112.0,"Crime, Dramma, Thriller",7.7,Paul Haggis,"Don Cheadle, Sandra Bullock, Thandiwe Newton, Karina Arroyave",,1351
Killing Me Softly,100.0,"Dramma, Mistero, Romantico",5.4,Kaige Chen,"Heather Graham, Joseph Fiennes, Natascha McElhone, Ulrich Thomsen",,1352
Triangle,99.0,"Fantasy, Mistero, Fantascienza",6.9,Christopher Smith,"Melissa George, Joshua McIvor, Jack Taylor, Michael Dorman",,1353
Captain Marvel,123.0,"Azione, Avventura, Fantascienza",6.8,Anna Boden,"Ryan Fleck, Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law",,1354
The Invisible Man,124.0,"Dramma, Horror, Mistero",7.1,Leigh Whannell,"Elisabeth Moss, Oliver Jackson-Cohen, Harriet Dyer, Aldis Hodge",,1355
Superhero Movie,75.0,"Azione, Commedia, Fantascienza",4.7,Craig Mazin,"Drake Bell, Leslie Nielsen, Sara Paxton, Christopher McDonald",,1356
Shrek Forever After,93.0,"Animazione, Avventura, Commedia",6.3,Mike Mitchell,"Mike Myers, Cameron Diaz, Eddie Murphy, Antonio Banderas",,1357
Million Dollar Baby,132.0,"Dramma, Sport",8.1,Clint Eastwood,"Hilary Swank, Clint Eastwood, Morgan Freeman, Jay Baruchel",,1358
Cuckoo,102.0,"Horror, Mistero, Thriller",5.7,Tilman Singer,"Dan Stevens, Hunter Schafer, Jessica Henwick, Marton Csokas",VM18,1359
The Hobbit: The Battle of the Five Armies,144.0,"Avventura, Fantasy",7.4,Peter Jackson,"Ian McKellen, Martin Freeman, Richard Armitage, Cate Blanchett",,1360
Citizen Kane,119.0,"Dramma, Mistero",8.3,Orson Welles,"Orson Welles, Joseph Cotten, Dorothy Comingore, Agnes Moorehead",,1361
Shattered,92.0,"Crime, Dramma, Horror",5.0,Luis Prieto,"Cameron Monaghan, Sasha Luss, Ridley Asha Bateman, Lilly Krug",VM18,1362
Fried Green Tomatoes,130.0,Dramma,7.7,Jon Avnet,"Kathy Bates, Jessica Tandy, Mary Stuart Masterson, Mary-Louise Parker",,1363
Valerian and the City of a Thousand Planets,136.0,"Azione, Avventura, Fantasy",6.4,Luc Besson,"Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna",,1364
The Homesman,122.0,"Dramma, Western",6.6,Tommy Lee Jones,"Tommy Lee Jones, Hilary Swank, Grace Gummer, Miranda Otto",VM18,1365
Halloween,91.0,"Horror, Thriller",7.7,John Carpenter,"Donald Pleasence, Jamie Lee Curtis, Tony Moran, Nancy Kyes",,1366
GoldenEye,130.0,"Azione, Avventura, Thriller",7.2,Martin Campbell,"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen",,1367
The Fly,96.0,"Dramma, Horror, Fantascienza",7.6,David Cronenberg,"Jeff Goldblum, Geena Davis, John Getz, Joy Boushel",,1368
Kung Fu Panda 2,90.0,"Animazione, Azione, Avventura",7.3,Jennifer Yuh Nelson,"Jack Black, Angelina Jolie, Jackie Chan, Dustin Hoffman",,1369
The Wicker Man,88.0,"Horror, Mistero, Thriller",7.5,Robin Hardy,"Edward Woodward, Christopher Lee, Diane Cilento, Britt Ekland",,1370
Dirty Harry,102.0,"Azione, Crime, Thriller",7.7,Don Siegel,"Clint Eastwood, Clint Eastwood, Andrew Robinson, Harry Guardino, Reni Santoni",,1371
What's Eating Gilbert Grape,118.0,Dramma,7.7,Lasse Hallström,"Johnny Depp, Leonardo DiCaprio, Juliette Lewis, Mary Steenburgen",,1372
The Iceman,106.0,"Biografia, Crime, Dramma",6.8,Ariel Vromen,"Michael Shannon, Chris Evans, James Franco, Winona Ryder",,1373
The Spiderwick Chronicles,96.0,"Azione, Avventura, Dramma",6.5,Mark Waters,"Freddie Highmore, Sarah Bolger, David Strathairn, Mary-Louise Parker",,1374
Hannibal,131.0,"Crime, Dramma, Thriller",6.8,Ridley Scott,"Anthony Hopkins, Julianne Moore, Gary Oldman, Ray Liotta",VM18,1375
The Faculty,104.0,"Horror, Mistero, Fantascienza",6.6,Robert Rodriguez,"Jordana Brewster, Clea DuVall, Laura Harris, Josh Hartnett",,1376
Triple Frontier,125.0,"Azione, Thriller",6.5,J.C. Chandor,"Ben Affleck, Oscar Isaac, Charlie Hunnam, Garrett Hedlund",,1377
Renfield,93.0,"Azione, Commedia, Fantasy",6.4,Chris McKay,"Nicholas Hoult, Nicolas Cage, Awkwafina, Ben Schwartz",,1378
A Time to Kill,149.0,"Crime, Dramma, Thriller",7.5,Joel Schumacher,"Matthew McConaughey, Sandra Bullock, Samuel L. Jackson, Kevin Spacey",,1379
Deepwater Horizon,107.0,"Azione, Dramma, Storico",7.1,Peter Berg,"Mark Wahlberg, Kurt Russell, Douglas M. Griffin, James DuMont",,1380
Escape from Germany,97.0,"Dramma, Storico, Guerra",7.3,T.C. Christensen,"Sebastian Barr, Joseph Batzel, Ischa Bee, Pamela Beheshti",T,1381
The New Mutants,94.0,"Azione, Horror, Mistero",5.3,Josh Boone,"Maisie Williams, Anya Taylor-Joy, Charlie Heaton, Alice Braga",,1382
This Is Where I Leave You,103.0,"Commedia, Dramma",6.6,Shawn Levy,"Jason Bateman, Tina Fey, Jane Fonda, Adam Driver",VM18,1383
Mission: Impossible - Ghost Protocol,132.0,"Azione, Avventura, Thriller",7.4,Brad Bird,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton",,1384
She's All That,95.0,"Commedia, Romantico",5.9,Robert Iscove,"Freddie Prinze Jr., Rachael Leigh Cook, Matthew Lillard, Paul Walker",,1385
The Evil Dead,85.0,Horror,7.4,Sam Raimi,"Bruce Campbell, Ellen Sandweiss, Richard DeManincor, Betsy Baker",,1386
Rebel Without a Cause,111.0,Dramma,7.6,Nicholas Ray,"James Dean, Natalie Wood, Sal Mineo, Jim Backus",,1387
The Princess and the Frog,97.0,"Animazione, Avventura, Commedia",7.2,Ron Clements,"John Musker, Anika Noni Rose, Keith David, Oprah Winfrey, Bruno Campos",,1388
Batman Forever,121.0,"Azione, Avventura",5.4,Joel Schumacher,"Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman",,1389
Super 8,112.0,"Azione, Mistero, Fantascienza",7.0,J.J. Abrams,"Elle Fanning, AJ Michalka, Kyle Chandler, Joel Courtney",,1390
The Hill,126.0,"Biografia, Dramma, Sport",6.7,Jeff Celentano,"Dennis Quaid, Colin Ford, Joelle Carter, Scott Glenn",T,1391
Escape Room,99.0,"Azione, Avventura, Horror",6.4,Adam Robitel,"Taylor Russell, Logan Miller, Jay Ellis, Tyler Labine",,1392
