titolo,durata,genere,rating,regista,cast,classificazione,film_id
The Beanie Bubble,110.0,"Commedia, Dramma",6.3,Kristin Gore,"Damian Kulash, Zach Galifianakis, Elizabeth Banks, Sarah Snook, Geraldine Viswanathan",VM18,5527
Benny & Joon,98.0,"Commedia, Dramma, Romantico",7.1,Jeremiah S. Chechik,"Johnny Depp, Mary Stuart Masterson, Aidan Quinn, Julianne Moore",,5528
Dickie Roberts: Former Child Star,98.0,Commedia,5.6,Sam Weisman,"David Spade, Mary McCormack, Alyssa Milano, Craig Bierko",VM14,5529
Mary Shelley,120.0,"Biografia, Dramma, Storico",6.4,Haifaa Al-Mansour,"Elle Fanning, Bel Powley, Owen Richards, Joanne Froggatt",VM14,5530
Danger Close: The Battle of Long Tan,118.0,"Azione, Dramma, Guerra",6.8,Kriv Stenders,"Travis Fimmel, Toby Blome, Alexander England, Aaron Glenane",VM18,5531
The Kashmir Files,170.0,Dramma,8.6,Vivek Agnihotri,"Mithun Chakraborty, Anupam Kher, Darshan Kumaar, Pallavi Joshi",,5532
The Skeleton Twins,93.0,"Commedia, Dramma, Romantico",6.8,Craig Johnson,"Kristen Wiig, Bill Hader, Luke Wilson, Ty Burrell",VM18,5533
"Mystery, Alaska",119.0,"Commedia, Dramma, Sport",6.7,Jay Roach,"Russell Crowe, Burt Reynolds, Hank Azaria, Mary McCormack",VM18,5534
Down Low,90.0,Commedia,5.5,Rightor Doyle,"Zachary Quinto, Lukas Gage, Judith Light, Simon Rex",VM18,5535
Baby Geniuses,97.0,"Commedia, Crime, Per famiglie",2.6,Bob Clark,"Kathleen Turner, Christopher Lloyd, Kim Cattrall, Peter MacNicol",,5536
Dope,103.0,"Avventura, Commedia, Crime",7.2,Rick Famuyiwa,"Shameik Moore, Tony Revolori, Kiersey Clemons, Kimberly Elise",VM18,5537
Showing Up,107.0,"Commedia, Dramma",6.3,Kelly Reichardt,"Michelle Williams, Hong Chau, André 3000, Todd-o-Phonic Todd",VM18,5538
Ju-on,92.0,Horror,6.7,Takashi Shimizu,"Megumi Okina, Misaki Itô, Misa Uehara, Yui Ichikawa",,5539
The Salvation,92.0,"Azione, Dramma, Thriller",6.7,Kristian Levring,"Mads Mikkelsen, Eva Green, Jeffrey Dean Morgan, Eric Cantona",VM18,5540
Astro Boy,94.0,"Animazione, Azione, Avventura",6.2,David Bowers,"Freddie Highmore, Nicolas Cage, Kristen Bell, Charlize Theron",,5541
Yoga Hosers,88.0,"Azione, Commedia, Horror",4.2,Kevin Smith,"Lily-Rose Depp, Harley Quinn Smith, Johnny Depp, Adam Brody",VM14,5542
Paid in Full,97.0,"Azione, Crime, Dramma",7.0,Charles Stone III,"Mekhi Phifer, Wood Harris, Chi McBride, Kevin Carroll",,5543
Romeo Must Die,115.0,"Azione, Crime, Thriller",6.1,Andrzej Bartkowiak,"Jet Li, Aaliyah, Isaiah Washington, Russell Wong",,5544
House of Wax,88.0,Horror,7.0,André De Toth,"Vincent Price, Frank Lovejoy, Phyllis Kirk, Carolyn Jones",,5545
Castaway,117.0,"Avventura, Biografia, Dramma",5.8,Nicolas Roeg,"Oliver Reed, Amanda Donohoe, Georgina Hale, Frances Barber",,5546
Black Death,102.0,"Azione, Dramma, Storico",6.4,Christopher Smith,"Eddie Redmayne, Sean Bean, Carice van Houten, Kimberley Nixon",VM18,5547
Caché,117.0,"Dramma, Mistero, Thriller",7.3,Michael Haneke,"Daniel Auteuil, Juliette Binoche, Maurice Bénichou, Annie Girardot",VM18,5548
Secret Obsession,97.0,"Crime, Dramma, Mistero",4.5,Peter Sullivan,"Brenda Song, Mike Vogel, Dennis Haysbert, Ashley Scott",,5549
Shelter,97.0,"Dramma, Romantico, Sport",7.6,Jonah Markowitz,"Trevor Wright, Brad Rowe, Tina Holmes, Jackson Wurth",,5550
Exit Wounds,101.0,"Azione, Crime, Thriller",5.6,Andrzej Bartkowiak,"Steven Seagal, DMX, Isaiah Washington, Anthony Anderson",VM18,5551
The Riot Club,107.0,"Dramma, Thriller",6.0,Lone Scherfig,"Sam Claflin, Max Irons, Douglas Booth, Jessica Brown Findlay",VM18,5552
White Palace,103.0,"Dramma, Romantico",6.5,Luis Mandoki,"Susan Sarandon, James Spader, Jason Alexander, Kathy Bates",,5553
Tender Mercies,92.0,"Dramma, Musica",7.3,Bruce Beresford,"Robert Duvall, Tess Harper, Betty Buckley, Wilford Brimley",,5554
Jin ling shi san chai,146.0,"Dramma, Storico, Romantico",7.5,Yimou Zhang,"Christian Bale, Ni Ni, Xinyi Zhang, Tianyuan Huang",VM18,5555
Danny Collins,106.0,"Commedia, Dramma, Musica",7.0,Dan Fogelman,"Al Pacino, Annette Bening, Jennifer Garner, Bobby Cannavale",VM18,5556
Tooth Fairy,101.0,"Commedia, Per famiglie, Fantasy",5.0,Michael Lembeck,"Dwayne Johnson, Ashley Judd, Julie Andrews, Stephen Merchant",,5557
Siddharth Roy,148.0,"Dramma, Romantico",8.3,V Yeshasvi,"Kalyani Natarajan, Tanvi Negi, Deepak Saroj, Mathew Varghese",,5558
Frankenweenie,87.0,"Animazione, Commedia, Dramma",6.9,Tim Burton,"Winona Ryder, Catherine O'Hara, Martin Short, Martin Landau",,5559
Marvin's Room,98.0,Dramma,6.7,Jerry Zaks,"Meryl Streep, Leonardo DiCaprio, Diane Keaton, Robert De Niro",,5560
Assassination Nation,108.0,"Azione, Commedia, Crime",6.0,Sam Levinson,"Odessa Young, Abra, Suki Waterhouse, Hari Nef",VM18,5561
Finding You,119.0,"Dramma, Romantico",6.4,Brian Baugh,"Rose Reid, Jedidiah Goodacre, Katherine McNamara, Patrick Bergin",T,5562
Dare mo shiranai,141.0,Dramma,8.0,Kore-eda Hirokazu,"Yûya Yagira, Ayu Kitaura, Hiei Kimura, Momoko Shimizu",VM14,5563
Accident Man,105.0,"Azione, Avventura, Commedia",6.2,Jesse V. Johnson,"Scott Adkins, Ray Stevenson, David Paymer, Michael Jai White",VM18,5564
PCU,79.0,Commedia,6.5,Hart Bochner,"Jeremy Piven, Chris Young, Megan Ward, Jon Favreau",VM14,5565
Sea of Love,113.0,"Crime, Dramma, Mistero",6.8,Harold Becker,"Al Pacino, Ellen Barkin, John Goodman, Michael Rooker",,5566
Irresistible,101.0,"Commedia, Dramma",6.3,Jon Stewart,"Steve Carell, Rose Byrne, Chris Cooper, Brent Sexton",,5567
Nowhere,82.0,"Commedia, Dramma, Fantascienza",6.5,Gregg Araki,"James Duval, Rachel True, Nathan Bexton, Chiara Mastroianni",VM18,5568
Miranda,100.0,"Commedia, Romantico",4.9,Tinto Brass,"Serena Grandi, Andrea Occhipinti, Franco Interlenghi, Andy J. Forest",,5569
The Red Sea Diving Resort,129.0,"Dramma, Storico, Thriller",6.6,Gideon Raff,"Mbulelo Grootboom, Sizo Mahlangu, Michael Kenneth Williams, Masasa Mbangeni",,5570
The Neverending Story II: The Next Chapter,90.0,"Avventura, Dramma, Per famiglie",5.1,George Miller,"Jonathan Brandis, Kenny Morrison, Clarissa Burt, John Wesley Shipp",,5571
Our Kind of Traitor,108.0,"Azione, Crime, Dramma",6.2,Susanna White,"Carlos Acosta, Radivoje Bukvic, Stellan Skarsgård, Mariya Fomina",VM18,5572
The Immaculate Room,92.0,"Dramma, Thriller",5.1,Mukunda Michael Dewil,"Emile Hirsch, Kate Bosworth, Ashley Greene, M. Emmet Walsh",VM18,5573
Hatchet,93.0,"Commedia, Horror, Thriller",5.6,Adam Green,"Kane Hodder, Joel David Moore, Deon Richmond, Amara Zaragoza",VM18,5574
Berlin Syndrome,116.0,"Dramma, Horror, Mistero",6.3,Cate Shortland,"Teresa Palmer, Max Riemelt, Matthias Habich, Emma Bading",,5575
Shark Night 3D,90.0,"Horror, Thriller",4.1,David R. Ellis,"Sara Paxton, Dustin Milligan, Chris Carmack, Katharine McPhee",,5576
Southbound,89.0,Horror,5.9,Roxanne Benjamin,"Matt Bettinelli-Olpin, David Bruckner, Tyler Gillett, Patrick Horvath, Justin Martinez, Radio Silence, Chad Villella, Chad Villella, Matt Bettinelli-Olpin, Kristina Pesic, Fabianne Therese",VM18,5577
Happy Death Day 2 U,100.0,"Commedia, Horror, Mistero",6.2,Christopher Landon,"Jessica Rothe, Israel Broussard, Phi Vu, Suraj Sharma",,5578
Velvet Buzzsaw,113.0,"Horror, Mistero, Thriller",5.7,Dan Gilroy,"Jake Gyllenhaal, Rene Russo, Zawe Ashton, Tom Sturridge",VM18,5579
Mighty Aphrodite,95.0,"Commedia, Fantasy, Romantico",7.0,Woody Allen,"Woody Allen, Mira Sorvino, Pamela Blair, Rene Ceballos",VM18,5580
House at the End of the Street,101.0,"Dramma, Horror, Thriller",5.5,Mark Tonderai,"Jennifer Lawrence, Elisabeth Shue, Max Thieriot, Gil Bellows",VM14,5581
Z-O-M-B-I-E-S 3,88.0,"Dramma, Per famiglie, Musical",5.4,Paul Hoen,"Milo Manheim, Meg Donnelly, Trevor Tordjman, Kylee Russell",,5582
